Country,Count
Australia,6
Azerbaijan,1
Bosnia and Herzegovina,8
Brazil,27
Burkina Faso,1
Burma,1
Burundi,3
Cameroon,1
Cape Verde,10
Chile,1
China,5
Comoros,4
Croatia,2
Cuba,1
Djibouti,1
Dominica,10
Equatorial Guinea,6
Ethiopia,1
Federated States of Micronesia,4
Ghana,1
Grenada,7
Guinea-Bissau,1
Honduras,5
Israel,1
Jordan,1
Kosovo,6
Liberia,1
Libya,1
Malaysia,1
Marshall Islands,1
Morocco,1
Myanmar,1
Nauru,1
Nepal,2
New Zealand,?
North Korea,1
Papua New Guinea,5
Paraguay,1
Philippines,3
Samoa,5
Sao Tome and Principe,2
Senegal,1
Singapore,5
Slovenia,3
Solomon Islands,5
Somalia,1
South Sudan,1
Suriname,1
Syria,2
Tajikistan,7
Timor-Leste,1
Togo,1
Turkmenistan,5
Tuvalu,?
United States of America,50
Uzbekistan,12
Venezuela,8
Vietnam,1
